subcellular_location,count
Cytoplasm:Golgi apparatus membrane,20
"Golgi apparatus, Golgi stack membrane:Secreted",20
"Nucleus:Cytoplasm:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",20
"Nucleus:Cytoplasm:Cytoplasm, cytoskeleton",20
Mitochondrion:Mitochondrion outer membrane,20
"Membrane, clathrin-coated pit:Golgi apparatus:Cytoplasmic vesicle, clathrin-coated vesicle",20
Postsynaptic density,20
Secreted:Membrane,20
Golgi apparatus membrane:Endosome membrane,20
"Cytoplasm, cytoskeleton:Membrane",20
"Cytoplasm:Nucleus:Cytoplasm, perinuclear region",20
"Cytoplasm:Nucleus, nucleoplasm",20
Nucleus:Cytoplasm:Mitochondrion,20
"Cell projection, lamellipodium",19
Secreted:Bacterial flagellum,19
"Cytoplasm, cytoskeleton:Cytoplasm, cell cortex",19
Mitochondrion:Mitochondrion matrix,19
Mitochondrion inner membrane:Peroxisome,19
"Plastid, apicoplast",19
Endoplasmic reticulum:Golgi apparatus,19
"Cell membrane:Cell projection, axon",19
"Nucleus, nucleoplasm:Cytoplasm",19
"Plastid, amyloplast",19
"Cell membrane:Cell projection, cilium",19
Cytoplasm:Early endosome membrane,19
Cytoplasm:Cell membrane:Nucleus,19
Cell inner membrane:Bacterial flagellum basal body,19
Cytoplasm:Nucleus:Nucleus speckle,18
Cytoplasm:Nucleus membrane,18
"Mitochondrion:Mitochondrion matrix, mitochondrion nucleoid",18
Cytoplasm:Preautophagosomal structure membrane,18
"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole",18
Cytoplasm:Dynein axonemal particle,18
"Synapse, synaptosome",18
"Membrane, clathrin-coated pit",18
Cell membrane:Membrane:Secreted,18
Secreted:Endoplasmic reticulum,18
Secreted:Cytoplasmic granule,18
Golgi apparatus membrane:Secreted,18
Dynein axonemal particle,18
"Secreted, extracellular space:Cell membrane",18
"Secreted, extracellular space, apoplast:Secreted, cell wall",18
"Cytoplasmic vesicle, secretory vesicle, acrosome membrane",18
Sarcoplasmic reticulum membrane,18
Glyoxysome,18
Membrane:Membrane,18
"Cell membrane, sarcolemma",18
Cell membrane:Early endosome membrane,18
Cell membrane:Endomembrane system,17
"Membrane:Cell projection, cilium",17
"Plastid, chloroplast stroma, chloroplast nucleoid",17
"Cell junction, adherens junction",17
Cell inner membrane:Cytoplasm,17
Rough endoplasmic reticulum membrane,17
"Cytoplasm:Nucleus:Cytoplasm, cytoskeleton, spindle",17
"Cytoplasm:Cytoplasm, cell cortex",17
"Membrane:Nucleus membrane:Nucleus, nuclear pore complex",17
Nucleus lamina,17
"Cell membrane:Cell projection, dendrite",17
Mitochondrion outer membrane:Endoplasmic reticulum membrane,17
"Nucleus:Cytoplasm, cytoskeleton",17
"Cell projection, cilium:Cytoplasm",17
"Nucleus, nucleolus:Nucleus",17
"Nucleus envelope:Nucleus, nuclear pore complex",17
Endoplasmic reticulum membrane:Nucleus envelope,17
"Cell projection, cilium membrane:Membrane",17
"Cytoplasm, cytosol:Peroxisome membrane",17
Endoplasmic reticulum membrane:Mitochondrion outer membrane,17
Postsynaptic cell membrane,17
Cell membrane:Cytoplasm:Nucleus,17
"Golgi apparatus, trans-Golgi network membrane:Endosome membrane",16
Endosome membrane:Golgi apparatus membrane,16
Apical cell membrane:Cell membrane,16
"Endomembrane system:Cytoplasm, cytoskeleton",16
"Cytoplasm, cytoskeleton:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",16
Golgi apparatus:Membrane,16
"Nucleus:Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body",16
