uniprot_description,count
Ion_trans_2 domain-containing protein,58
Hypothetical_protein_-__conserved,58
HSF_DOMAIN domain-containing protein,58
Branched-chain-amino-acid aminotransferase,58
Glucose-6-phosphate isomerase,58
BTB/POZ domain-containing protein,58
Ferredoxin,58
Pseudouridine synthase,58
Serine/threonine protein phosphatase 2A regulatory subunit,57
Helicase ATP-binding domain-containing protein,57
Probable oxidoreductase,57
Plasma membrane ATPase,57
SAP domain-containing protein,57
ZnMc domain-containing protein,57
MADF domain-containing protein,57
BSD domain-containing protein,57
Protein transport protein SEC23,57
Methyltranfer_dom domain-containing protein,57
Pyr_redox_2 domain-containing protein,57
Protein_kinase_-_putative,57
Lysine--tRNA ligase,57
Response regulatory domain-containing protein,57
Chaperone DnaJ-domain superfamily protein,57
Mannose-6-phosphate isomerase,57
Nuclear transcription factor Y subunit,56
Alpha/beta hydrolase fold family protein,56
Growth-regulating factor,56
Arrestin_C domain-containing protein,56
Transaldolase,56
Tudor domain-containing protein,56
Fatty acyl-CoA reductase,56
Vegetative incompatibility protein HET-E-1,56
Glutamyl-tRNA synthetase,56
Adenine phosphoribosyltransferase,56
Phosphotransferase enzyme family protein,56
Pyrroline-5-carboxylate reductase,56
Alanine--tRNA ligase,56
Cytochrome b561 domain-containing protein,56
"Serine/threonine protein kinase, putative",56
Transposase family protein,56
Probable magnesium transporter,55
rRNA adenine N(6)-methyltransferase,55
Smr domain-containing protein,55
Endoplasmic reticulum transmembrane protein,55
UDP-glucose 4-epimerase,55
UDENN domain-containing protein,55
CULLIN_2 domain-containing protein,55
PRESAN domain-containing protein,55
Lipoxygenase,55
MARVEL domain-containing protein,55
Polyadenylate-binding protein,55
Hydrolase,55
F-box domain containing protein,55
Vesicle-fusing ATPase,55
ACB domain-containing protein,54
Transducin family protein / WD-40 repeat family protein,54
Cysteine synthase,54
NR LBD domain-containing protein,54
Solute carrier organic anion transporter family member,54
Cysteine dioxygenase,54
NACHT domain-containing protein,54
40S ribosomal protein S4-3,54
"Acyl-CoA dehydrogenase, C-terminal domain protein",54
RuvB-like helicase,54
HTH_48 domain-containing protein,54
Isoleucyl-tRNA synthetase,53
Auxin-responsive protein,53
MHD domain-containing protein,53
Casein kinase II subunit beta,53
TTF-type domain-containing protein,53
Guanylate kinase,53
SnoaL-like domain-containing protein,53
Guanine nucleotide-binding protein subunit gamma,53
Short chain dehydrogenase,53
DNA topoisomerase 2,53
Cytochrome P450,53
Dihydrofolate reductase,53
Leucine-rich repeat (LRR) family protein,53
Vesicle transport protein,53
Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase,53
Pyruvate decarboxylase,53
AraC family transcriptional regulator,52
Ribokinase,52
CID domain-containing protein,52
Fucosyltransferase,52
F-box associated ubiquitination effector family protein,52
Nucleotid_trans domain-containing protein,52
Putative leucine-rich repeat receptor-like protein kinase family protein,52
Elongation of fatty acids protein,52
Tryptophanyl-tRNA synthetase,52
Aldose 1-epimerase,52
"ABC transporter, putative",52
Zinc finger protein,52
MLO-like protein,52
DUF659 domain-containing protein,52
DNA topoisomerase,52
Acetyltransferase,52
Mothers against decapentaplegic homolog,52
Putative transposase for IS2404,51
RING/FYVE/PHD zinc finger superfamily protein,51
BZIP transcription factor,51
FAD-binding FR-type domain-containing protein,51
Pyridoxal phosphate homeostasis protein,51
"6-phosphogluconate dehydrogenase, decarboxylating",51
ABC1 domain-containing protein,51
Uracil-DNA glycosylase,51
Methyltransf_25 domain-containing protein,51
Disease resistance protein (TIR-NBS-LRR class) family,51
